Designator,Mid X,Mid Y,Layer,Rotation
BT1,28.000000,-27.000000,Bottom,0.000000
BZ1,75.000000,-34.000000,Top,0.000000
C1,58.000000,-22.200000,Top,0.000000
C2,63.500000,-20.500000,Top,0.000000
C3,53.000000,-22.200000,Top,0.000000
D1,84.200000,-8.000000,Top,0.000000
D2,86.000000,-43.000000,Top,0.000000
Q1,86.500000,-33.000000,Top,0.000000
R1,81.000000,-8.000000,Top,0.000000
R2,78.000000,-10.500000,Top,0.000000
R3,88.400000,-37.800000,Top,90.000000
S1,7.000000,-7.000000,Top,0.000000
U1,69.000000,-10.000000,Top,0.000000
